saccadeOrDrift,duration,onsetIndex,offsetIndex,onsetTime,offsetTime,xStart,xEnd,yStart,yEnd,xAmplitude,yAmplitude,vectorAmplitude,direction,peakVelocity,meanVelocity,maximumExcursion
saccade,0.010417,158.000000,163.000000,0.327083,0.337500,0.022937,0.086667,0.001825,0.009841,0.063730,0.008016,0.064232,7.168921,11.942796,2.839471,0.067784,
saccade,0.014583,958.000000,965.000000,1.993750,2.008333,-0.042143,-0.667619,0.024921,0.025000,-0.625476,0.000079,0.625476,179.992730,88.342890,15.154345,0.640794,
saccade,0.014583,1022.000000,1029.000000,2.127083,2.141667,-0.427540,0.073810,0.020000,0.024762,0.501349,0.004762,0.501372,0.544189,71.409526,11.602484,0.518178,
saccade,0.012500,1613.000000,1619.000000,3.358333,3.370833,0.186905,0.065000,-0.005000,0.010000,-0.121905,0.015000,0.122824,172.985194,17.990927,3.661439,0.127667,
saccade,0.014583,1902.000000,1909.000000,3.960417,3.975000,0.067143,0.200714,0.018333,0.034762,0.133571,0.016429,0.134578,7.011858,15.490399,3.495179,0.134578,
saccade,0.014583,2301.000000,2308.000000,4.791667,4.806250,0.138254,0.078333,0.011825,0.025476,-0.059921,0.013651,0.061456,167.166217,8.458730,2.280706,0.063668,
saccade,0.014583,2940.000000,2947.000000,6.122917,6.137500,0.101190,0.084762,-0.000635,0.053730,-0.016429,0.054365,0.056793,106.814280,6.427436,2.141444,0.056793,
saccade,0.014583,4731.000000,4738.000000,9.854167,9.868750,-0.397778,0.816667,-0.028571,-0.045000,1.214444,-0.016429,1.214556,-0.775030,176.318846,25.770633,1.271078,
saccade,0.008333,4753.000000,4757.000000,9.900000,9.908333,1.141349,1.391548,-0.056478,-0.064940,0.250198,-0.008462,0.250341,-1.937140,60.552589,11.175163,0.250341,
saccade,0.014583,4843.000000,4850.000000,10.087500,10.102083,1.332857,0.218333,-0.060714,0.135000,-1.114524,0.195714,1.131577,170.040207,164.073136,24.517781,1.184660,
