saccadeOrDrift,duration,onsetIndex,offsetIndex,onsetTime,offsetTime,xStart,xEnd,yStart,yEnd,xAmplitude,yAmplitude,vectorAmplitude,direction,peakVelocity,meanVelocity,maximumExcursion
saccade,0.014583,158.000000,165.000000,0.327083,0.341667,-0.016165,0.490201,0.045859,0.174708,0.506366,0.128849,0.522502,14.276462,69.486362,12.611072,0.522502,
saccade,0.012500,398.000000,404.000000,0.827083,0.839583,0.407896,0.500619,0.214858,0.068990,0.092723,-0.145868,0.172844,-57.557421,20.152586,6.363345,0.172844,
saccade,0.016667,830.000000,838.000000,1.727083,1.743750,0.290631,0.692855,0.186020,0.364091,0.402224,0.178070,0.439879,23.879638,47.009015,10.986933,0.439879,
saccade,0.012500,1182.000000,1188.000000,2.460417,2.472917,0.529203,0.912911,0.392057,0.470281,0.383709,0.078224,0.391601,11.522535,52.345304,11.823020,0.393535,
saccade,0.014583,1406.000000,1413.000000,2.927083,2.941667,0.926103,1.473941,0.474406,0.533273,0.547838,0.058867,0.550992,6.133086,74.525763,15.663660,0.561524,
saccade,0.029167,1606.000000,1620.000000,3.343750,3.372917,1.135837,0.066574,0.452068,-0.069966,-1.069263,-0.522034,1.189892,-153.977510,62.012130,19.593721,1.189892,
saccade,0.018750,1795.000000,1804.000000,3.737500,3.756250,-0.029719,-0.402476,-0.062510,0.106120,-0.372757,0.168629,0.409126,155.658759,30.360105,8.769798,0.409126,
saccade,0.012500,2046.000000,2052.000000,4.260417,4.272917,-0.328175,-0.071780,0.122105,0.245642,0.256395,0.123537,0.284605,25.725783,35.473156,8.702193,0.284605,
saccade,0.014583,2384.000000,2391.000000,4.964583,4.979167,-0.028889,0.419008,0.326199,0.436673,0.447898,0.110474,0.461321,13.855439,57.646570,14.057271,0.461321,
saccade,0.018750,2677.000000,2686.000000,5.575000,5.593750,0.317489,1.152186,0.425529,0.565847,0.834696,0.140318,0.846408,9.542576,71.750000,18.609899,0.846408,
saccade,0.022917,2895.000000,2906.000000,6.029167,6.052083,1.041423,2.214291,0.590789,0.276641,1.172868,-0.314147,1.214211,-14.994450,85.706099,22.476058,1.214211,
saccade,0.018750,3211.000000,3220.000000,6.687500,6.706250,1.951973,2.355818,0.192596,0.292973,0.403844,0.100377,0.416132,13.958198,37.968936,9.640581,0.416132,
saccade,0.014583,3463.000000,3470.000000,7.212500,7.227083,2.101673,2.607523,0.328335,0.328354,0.505850,0.000019,0.505850,0.002126,60.102512,13.067741,0.505850,
saccade,0.022917,3726.000000,3737.000000,7.760417,7.783333,2.303590,1.254193,0.282204,0.284509,-1.049398,0.002305,1.049400,179.874174,67.784858,19.525757,1.049400,
saccade,0.012500,4110.000000,4116.000000,8.560417,8.572917,1.402502,1.919189,0.186014,0.260368,0.516688,0.074354,0.522010,8.188956,67.279034,14.920671,0.522010,
saccade,0.022917,4342.000000,4353.000000,9.043750,9.066667,1.573663,0.223976,0.327403,0.423273,-1.349687,0.095870,1.353087,175.937019,100.278545,25.325327,1.353087,
saccade,0.016667,4629.000000,4637.000000,9.641667,9.658333,-0.012712,0.885083,0.367532,0.408468,0.897794,0.040937,0.898727,2.610712,92.112116,18.605273,0.898727,
saccade,0.012500,4894.000000,4900.000000,10.193750,10.206250,1.007528,1.593699,0.476159,0.621919,0.586171,0.145760,0.604022,13.964209,81.349780,17.698384,0.611256,
saccade,0.025000,5138.000000,5150.000000,10.702083,10.727083,1.239296,-0.472161,0.613335,0.496690,-1.711457,-0.116645,1.715427,-176.101029,101.284226,28.838166,1.715427,
saccade,0.014583,5349.000000,5356.000000,11.141667,11.156250,-0.876390,-1.488931,0.431005,0.540894,-0.612541,0.109889,0.622320,169.829424,62.604798,15.402451,0.622320,
saccade,0.018750,5522.000000,5531.000000,11.502083,11.520833,-1.491811,-0.727275,0.519020,0.604182,0.764536,0.085162,0.769265,6.355994,59.598999,16.485806,0.769265,
