saccadeOrDrift,duration,onsetIndex,offsetIndex,onsetTime,offsetTime,xStart,xEnd,yStart,yEnd,xAmplitude,yAmplitude,vectorAmplitude,direction,peakVelocity,meanVelocity,maximumExcursion
saccade,0.014583,110.000000,117.000000,0.227083,0.241667,0.037381,-0.381667,0.015000,0.009524,-0.419048,-0.005476,0.419083,-179.251291,50.419080,8.794851,0.419083,
saccade,0.016667,337.000000,345.000000,0.700000,0.716667,-0.138571,0.102381,0.050000,0.045000,0.240952,-0.005000,0.241004,-1.188773,24.800066,5.975396,0.241004,
saccade,0.012500,1345.000000,1351.000000,2.800000,2.812500,-0.066905,0.564286,0.060714,-0.003492,0.631190,-0.064206,0.634448,-5.808298,88.473154,16.597459,0.644512,
saccade,0.016667,1373.000000,1381.000000,2.858333,2.875000,0.410159,-0.721905,-0.006111,0.018492,-1.132063,0.024603,1.132331,178.754985,130.114615,23.365434,1.144229,
saccade,0.014583,1473.000000,1480.000000,3.066667,3.081250,-0.413571,-0.138889,0.038333,0.062143,0.274683,0.023810,0.275713,4.954024,34.630777,6.958966,0.275713,
saccade,0.008333,1810.000000,1814.000000,3.768750,3.777083,-0.102619,-0.022857,0.034841,0.028333,0.079762,-0.006508,0.080027,-4.664547,12.050747,5.307956,0.080027,
saccade,0.012500,2111.000000,2117.000000,4.395833,4.408333,-0.003095,-0.215952,0.029603,-0.065238,-0.212857,-0.094841,0.233030,-155.984015,31.668785,6.292967,0.233030,
saccade,0.012500,2254.000000,2260.000000,4.693750,4.706250,-0.077143,0.039524,-0.075000,-0.020238,0.116667,0.054762,0.128880,25.144786,14.212153,4.481467,0.128880,
saccade,0.016667,2848.000000,2856.000000,5.931250,5.947917,-0.033254,-1.186667,0.002302,-0.059444,-1.153413,-0.061746,1.155064,-176.935691,111.232637,25.563431,1.155064,
saccade,0.018750,2870.000000,2879.000000,5.977083,5.995833,-0.905714,0.644286,-0.057381,0.030476,1.550000,0.087857,1.552488,3.244170,128.618896,30.487517,1.552488,
saccade,0.012500,3038.000000,3044.000000,6.327083,6.339583,0.460476,-0.275238,0.001667,0.005000,-0.735714,0.003333,0.735722,179.740409,103.353660,17.012076,0.751039,
saccade,0.014583,3227.000000,3234.000000,6.720833,6.735417,0.024286,0.396111,0.030000,-0.012222,0.371825,-0.042222,0.374215,-6.478409,43.649334,8.628936,0.374215,
saccade,0.016667,3400.000000,3408.000000,7.081250,7.097917,0.387857,-0.095476,0.003730,0.021429,-0.483333,0.017698,0.483657,177.902914,53.782007,10.827601,0.483657,
saccade,0.012500,4144.000000,4150.000000,8.631250,8.643750,0.963889,2.046905,0.063095,0.110238,1.083016,0.047143,1.084041,2.492468,104.968449,30.500730,1.084041,
saccade,0.018750,4222.000000,4231.000000,8.793750,8.812500,1.918016,-0.378095,0.105238,0.006508,-2.296111,-0.098730,2.298233,-177.537864,188.353307,43.675653,2.300351,
saccade,0.012500,4245.000000,4251.000000,8.841667,8.854167,0.108254,0.842778,-0.001746,0.037937,0.734524,0.039683,0.735595,3.092390,88.836652,22.142750,0.735595,
saccade,0.014583,4331.000000,4338.000000,9.020833,9.035417,0.511429,-0.413095,0.068492,-0.004524,-0.924524,-0.073016,0.927403,-175.484339,117.490556,22.423902,0.946097,
saccade,0.018750,4486.000000,4495.000000,9.343750,9.362500,-0.002857,1.239286,0.045873,-0.080238,1.242143,-0.126111,1.248528,-5.797208,112.172012,24.291657,1.248528,
saccade,0.014583,4657.000000,4664.000000,9.700000,9.714583,1.253571,0.495635,-0.056032,-0.003333,-0.757937,0.052698,0.759766,176.022694,88.011059,16.957337,0.759766,
saccade,0.014583,4882.000000,4889.000000,10.168750,10.183333,0.706746,1.277619,0.032540,-0.093492,0.570873,-0.126032,0.584620,-12.449503,69.653109,13.041497,0.584620,
saccade,0.014583,5027.000000,5034.000000,10.470833,10.485417,1.283016,0.514762,-0.095159,-0.013333,-0.768254,0.081825,0.772599,173.920446,94.041645,15.840997,0.781439,
saccade,0.014583,5453.000000,5460.000000,11.358333,11.372917,0.680238,1.373095,-0.069762,-0.075000,0.692857,-0.005238,0.692877,-0.433156,84.647621,15.423999,0.706435,
saccade,0.016667,5634.000000,5642.000000,11.735417,11.752083,1.262143,0.466667,-0.081905,-0.070952,-0.795476,0.010952,0.795552,179.211182,81.689702,16.147398,0.804385,
saccade,0.016667,5973.000000,5981.000000,12.441667,12.458333,0.446667,-0.038333,-0.094524,-0.110079,-0.485000,-0.015556,0.485249,-178.162964,53.836015,10.234441,0.485860,
saccade,0.016667,6200.000000,6208.000000,12.914583,12.931250,0.079206,0.458571,-0.088810,-0.146429,0.379365,-0.057619,0.383716,-8.636242,45.254834,8.683727,0.387779,
