saccadeOrDrift,duration,onsetIndex,offsetIndex,onsetTime,offsetTime,xStart,xEnd,yStart,yEnd,xAmplitude,yAmplitude,vectorAmplitude,direction,peakVelocity,meanVelocity,maximumExcursion
saccade,0.031250,173.000000,188.000000,0.358333,0.389583,0.643254,2.372063,-0.209444,-0.816746,1.728810,-0.607302,1.832375,-19.355514,87.165095,28.826515,1.832375,
saccade,0.020833,254.000000,264.000000,0.527083,0.547917,2.629048,2.843571,-0.825000,-0.500694,0.214524,0.324306,0.388837,56.515894,31.085327,10.829723,0.388837,
saccade,0.020833,972.000000,982.000000,2.022917,2.043750,3.716587,2.761213,-0.469365,-0.629399,-0.955374,-0.160034,0.968685,-170.490712,63.072868,22.121050,0.968685,
saccade,0.016667,1223.000000,1231.000000,2.545833,2.562500,2.485476,3.124048,-0.923889,-0.916270,0.638571,0.007619,0.638617,0.683586,61.715708,15.449246,0.638617,
saccade,0.008333,1511.000000,1515.000000,3.145833,3.154167,3.722177,3.758231,-1.026145,-0.851882,0.036054,0.174263,0.177954,78.310631,26.592330,11.969431,0.177954,
saccade,0.014583,1685.000000,1692.000000,3.508333,3.522917,4.465476,4.891667,-0.589683,-0.505952,0.426190,0.083730,0.434337,11.114875,48.372991,14.521299,0.434337,
saccade,0.010417,1879.000000,1884.000000,3.912500,3.922917,5.418730,5.604563,-0.576190,-0.449802,0.185833,0.126389,0.224740,34.220387,36.861804,10.028900,0.224740,
saccade,0.012500,2134.000000,2140.000000,4.443750,4.456250,5.924286,5.533286,-0.700794,-0.709921,-0.391000,-0.009127,0.391107,-178.662806,48.605755,15.245454,0.391107,
saccade,0.022917,2446.000000,2457.000000,5.093750,5.116667,4.461270,5.397619,-0.627698,-0.596565,0.936349,0.031134,0.936867,1.904394,60.481233,18.325021,0.936867,
saccade,0.033333,2721.000000,2737.000000,5.666667,5.700000,5.624762,4.223056,-0.334524,-0.174802,-1.401706,0.159722,1.410777,173.499275,54.890588,19.351431,1.410777,
saccade,0.031250,3533.000000,3548.000000,7.358333,7.389583,5.168095,3.472381,-0.579762,-0.542857,-1.695714,0.036905,1.696116,178.753237,86.630364,26.859992,1.696116,
saccade,0.012500,4054.000000,4060.000000,8.443750,8.456250,4.135092,4.432631,-1.071026,-1.106621,0.297540,-0.035595,0.299661,-6.821981,32.229043,15.949450,0.299661,
saccade,0.008333,4249.000000,4253.000000,8.850000,8.858333,5.408571,5.192032,-1.252381,-1.201381,-0.216540,0.051000,0.222464,166.747074,29.746436,14.941168,0.222464,
