saccadeOrDrift,duration,onsetIndex,offsetIndex,onsetTime,offsetTime,xStart,xEnd,yStart,yEnd,xAmplitude,yAmplitude,vectorAmplitude,direction,peakVelocity,meanVelocity,maximumExcursion
saccade,0.012500,926.000000,932.000000,1.927083,1.939583,0.612560,1.594841,-0.058413,-0.204127,0.982282,-0.145714,0.993031,-8.437874,140.577515,22.089541,1.013915,
saccade,0.010417,1090.000000,1095.000000,2.268750,2.279167,2.570448,3.016548,0.078776,0.167738,0.446100,0.088963,0.454884,11.278145,72.345231,21.611802,0.454884,
saccade,0.020833,1242.000000,1252.000000,2.585417,2.606250,4.787075,5.894603,0.512245,1.133889,1.107528,0.621644,1.270063,29.305038,115.444419,31.691961,1.270063,
saccade,0.012500,1554.000000,1560.000000,3.235417,3.247917,2.818543,2.267576,0.210596,0.042246,-0.550967,-0.168350,0.576113,-163.009253,66.724635,34.820735,0.576113,
saccade,0.008333,1651.000000,1655.000000,3.437500,3.445833,1.980350,1.665616,0.157451,0.218058,-0.314734,0.060607,0.320516,169.100226,47.900005,19.796379,0.320516,
saccade,0.010417,1806.000000,1811.000000,3.760417,3.770833,1.116032,0.613333,0.341508,0.406349,-0.502698,0.064841,0.506863,172.650204,92.902323,15.401724,0.536805,
saccade,0.014583,1981.000000,1988.000000,4.125000,4.139583,0.404524,-0.590794,0.385238,0.235000,-0.995317,-0.150238,1.006592,-171.416294,130.495472,25.625960,1.006592,
saccade,0.012500,2174.000000,2180.000000,4.527083,4.539583,-0.300397,-0.691667,0.120714,0.080000,-0.391270,-0.040714,0.393382,-174.059365,71.113946,12.411716,0.418485,
saccade,0.014583,2190.000000,2197.000000,4.560417,4.575000,-0.614921,-1.294524,0.042222,-0.158095,-0.679603,-0.200317,0.708511,-163.576776,91.657105,16.441291,0.708511,
saccade,0.014583,3015.000000,3022.000000,6.279167,6.293750,-0.396607,0.106032,-0.004365,0.045714,0.502639,0.050079,0.505128,5.689767,63.494309,12.833396,0.505128,
