saccadeOrDrift,duration,onsetIndex,offsetIndex,onsetTime,offsetTime,xStart,xEnd,yStart,yEnd,xAmplitude,yAmplitude,vectorAmplitude,direction,peakVelocity,meanVelocity,maximumExcursion
saccade,0.008333,879.000000,883.000000,1.829167,1.837500,-0.001905,-0.051746,0.010000,-0.008889,-0.049841,-0.018889,0.053300,-159.244249,7.065537,2.097592,0.053300,
saccade,0.018750,879.000000,888.000000,1.829167,1.847917,-0.001905,-0.081587,0.010000,-0.013810,-0.079683,-0.023810,0.083164,-163.363603,7.065537,2.170109,0.083512,
saccade,0.014583,2923.000000,2930.000000,6.087500,6.102083,0.265238,0.215000,0.122937,0.096667,-0.050238,-0.026270,0.056692,-152.394626,8.016061,1.620436,0.059819,
saccade,0.014583,4729.000000,4736.000000,9.850000,9.864583,0.128598,-2.914762,0.150556,1.520476,-3.043360,1.369921,3.337472,155.765856,434.845180,64.243507,3.409036,
saccade,0.014583,4794.000000,4801.000000,9.985417,10.000000,-2.945386,-3.029772,1.615500,1.632601,-0.084386,0.017102,0.086101,168.543593,12.482043,1.925195,0.089582,
saccade,0.012500,4963.000000,4969.000000,10.337500,10.350000,-3.026461,-3.056277,1.714139,1.764362,-0.029816,0.050223,0.058406,120.696638,8.705060,1.495253,0.060701,
saccade,0.014583,5212.000000,5219.000000,10.856250,10.870833,-2.889490,-2.928138,1.742007,1.797856,-0.038648,0.055849,0.067918,124.683906,8.966636,1.572619,0.069816,
saccade,0.012500,6365.000000,6371.000000,13.258333,13.270833,-2.978872,-3.029716,1.714775,1.750863,-0.050844,0.036089,0.062350,144.632983,9.499351,1.862803,0.064890,
saccade,0.014583,6493.000000,6500.000000,13.525000,13.539583,-2.970412,-3.051840,1.711207,1.739500,-0.081429,0.028293,0.086204,160.840043,10.429036,2.509888,0.086204,
saccade,0.012500,6578.000000,6584.000000,13.702083,13.714583,-3.189719,-3.139876,1.695883,1.719050,0.049843,0.023167,0.054964,24.928837,8.732118,1.557031,0.056628,
