saccadeOrDrift,duration,onsetIndex,offsetIndex,onsetTime,offsetTime,xStart,xEnd,yStart,yEnd,xAmplitude,yAmplitude,vectorAmplitude,direction,peakVelocity,meanVelocity,maximumExcursion
saccade,0.029167,122.000000,136.000000,0.252083,0.281250,0.369378,3.566874,-0.043060,0.030367,3.197496,0.073427,3.198339,1.315505,166.980777,50.122329,3.198339,
saccade,0.025000,273.000000,285.000000,0.566667,0.591667,3.333895,1.936818,0.123606,0.101037,-1.397077,-0.022569,1.397260,-179.074501,74.103812,24.031434,1.397260,
saccade,0.027083,471.000000,484.000000,0.979167,1.006250,1.787406,0.419215,0.092377,0.013264,-1.368190,-0.079113,1.370476,-176.690683,69.391903,22.186192,1.370476,
saccade,0.006250,680.000000,683.000000,1.414583,1.420833,0.226295,0.069595,-0.065395,-0.105155,-0.156700,-0.039760,0.161666,-165.762671,41.770293,14.387155,0.161666,
saccade,0.027083,903.000000,916.000000,1.879167,1.906250,0.471281,2.085004,-0.096355,-0.074718,1.613723,0.021638,1.613868,0.768201,83.655466,26.062735,1.620765,
saccade,0.027083,966.000000,979.000000,2.010417,2.037500,1.940772,0.758187,-0.071807,-0.113423,-1.182586,-0.041617,1.183318,-177.984513,62.517824,19.283117,1.183318,
saccade,0.016667,1228.000000,1236.000000,2.556250,2.572917,0.871559,0.138083,-0.083438,-0.114207,-0.733476,-0.030769,0.734121,-177.597903,67.463952,15.652703,0.734121,
saccade,0.002083,1538.000000,1539.000000,3.202083,3.204167,1.067751,1.153264,-0.043282,-0.040504,0.085513,0.002778,0.085558,1.860695,42.916012,16.043316,0.085558,
saccade,0.012500,1622.000000,1628.000000,3.377083,3.389583,1.370052,0.602550,-0.015404,-0.031433,-0.767502,-0.016029,0.767669,-178.803588,84.050166,21.683725,0.767669,
saccade,0.031250,1906.000000,1921.000000,3.968750,4.000000,0.311706,2.543573,-0.064325,-0.061648,2.231867,0.002677,2.231869,0.068724,92.875821,34.249665,2.231869,
saccade,0.029167,2031.000000,2045.000000,4.229167,4.258333,2.460164,1.043302,-0.017969,-0.073351,-1.416862,-0.055382,1.417944,-177.761579,56.689498,22.917393,1.417944,
saccade,0.027083,2136.000000,2149.000000,4.447917,4.475000,1.041097,-0.119217,-0.093706,-0.127415,-1.160314,-0.033709,1.160804,-178.335932,56.182063,18.282308,1.160804,
saccade,0.016667,2237.000000,2245.000000,4.658333,4.675000,-0.026178,-0.801124,-0.140568,-0.162997,-0.774947,-0.022428,0.775271,-178.342222,76.083091,16.111492,0.775271,
saccade,0.025000,2612.000000,2624.000000,5.439583,5.464583,-0.304606,0.769982,-0.106608,-0.063861,1.074589,0.042748,1.075438,2.278050,54.262205,17.963757,1.075438,
saccade,0.022917,2721.000000,2732.000000,5.666667,5.689583,0.699028,-0.128307,-0.054750,-0.091318,-0.827335,-0.036568,0.828143,-177.469165,54.248580,14.819105,0.828143,
saccade,0.010417,2887.000000,2892.000000,6.012500,6.022917,-0.098280,-0.458537,-0.130428,-0.238333,-0.360257,-0.107905,0.376070,-163.325860,45.887098,13.407147,0.376070,
saccade,0.002083,3066.000000,3067.000000,6.385417,6.387500,-0.105352,-0.047934,-0.259011,-0.256240,0.057418,0.002771,0.057485,2.762880,30.884946,10.166479,0.057485,
saccade,0.018750,3188.000000,3197.000000,6.639583,6.658333,0.505611,1.566255,-0.194498,-0.129350,1.060644,0.065148,1.062643,3.514875,95.163284,22.701369,1.062643,
saccade,0.022917,3245.000000,3256.000000,6.758333,6.781250,1.541610,0.792211,-0.096878,-0.096035,-0.749399,0.000842,0.749399,179.935602,51.655719,14.068282,0.749399,
saccade,0.029167,3395.000000,3409.000000,7.070833,7.100000,0.933762,-0.088610,-0.066209,-0.138473,-1.022372,-0.072263,1.024923,-175.956947,56.404611,16.947959,1.030372,
saccade,0.018750,3761.000000,3770.000000,7.833333,7.852083,0.197750,-0.265741,-0.084776,-0.091292,-0.463491,-0.006516,0.463537,-179.194597,40.383590,9.564021,0.463537,
saccade,0.014583,3969.000000,3976.000000,8.266667,8.281250,-0.149147,-0.418671,-0.082026,-0.115994,-0.269524,-0.033968,0.271656,-172.816914,25.009206,6.958077,0.271656,
saccade,0.014583,4237.000000,4244.000000,8.825000,8.839583,-0.045943,0.378913,-0.079455,-0.075782,0.424856,0.003673,0.424872,0.495376,43.312459,10.149902,0.424872,
saccade,0.027083,4528.000000,4541.000000,9.431250,9.458333,0.179018,-0.981354,-0.147318,-0.198079,-1.160372,-0.050761,1.161482,-177.495156,70.431291,19.610356,1.161482,
saccade,0.014583,4906.000000,4913.000000,10.218750,10.233333,-0.675349,-1.114804,-0.279194,-0.279648,-0.439455,-0.000454,0.439455,-179.940814,37.336547,10.273857,0.439455,
saccade,0.027083,5131.000000,5144.000000,10.687500,10.714583,-0.881888,0.132656,-0.266039,-0.260567,1.014543,0.005473,1.014558,0.309057,72.706750,15.759791,1.014558,
saccade,0.020833,5218.000000,5228.000000,10.868750,10.889583,0.116501,-0.144823,-0.284074,-0.472514,-0.261324,-0.188440,0.322180,-144.204756,25.926995,7.394480,0.322180,
saccade,0.014583,5369.000000,5376.000000,11.183333,11.197917,-0.073151,-0.323025,-0.475390,-0.538757,-0.249874,-0.063367,0.257784,-165.769981,26.561810,6.529676,0.257784,
saccade,0.014583,5684.000000,5691.000000,11.839583,11.854167,-0.108811,-0.521631,-0.504644,-0.487524,-0.412820,0.017120,0.413175,177.625269,51.560581,8.930733,0.413175,
saccade,0.006250,5972.000000,5975.000000,12.439583,12.445833,-0.441247,-0.551113,-0.497302,-0.505865,-0.109866,-0.008563,0.110199,-175.543601,22.011461,6.240593,0.110199,
saccade,0.010417,6149.000000,6154.000000,12.808333,12.818750,-0.664918,-0.948461,-0.512570,-0.514328,-0.283543,-0.001758,0.283549,-179.644729,41.919668,11.298998,0.283549,
saccade,0.022917,6335.000000,6346.000000,13.195833,13.218750,-0.531309,0.256064,-0.452141,-0.384465,0.787373,0.067677,0.790277,4.912648,49.489201,14.577508,0.790277,
saccade,0.020833,6464.000000,6474.000000,13.464583,13.485417,0.194036,-0.520670,-0.337115,-0.243105,-0.714706,0.094010,0.720862,172.506486,47.344729,14.039827,0.720862,
saccade,0.020833,6631.000000,6641.000000,13.812500,13.833333,-0.241778,0.286856,-0.220374,-0.201585,0.528634,0.018789,0.528968,2.035603,34.498533,10.427873,0.528968,
saccade,0.020833,6776.000000,6786.000000,14.114583,14.135417,0.189642,-0.445401,-0.204086,-0.217097,-0.635043,-0.013011,0.635176,-178.826240,46.168150,12.971408,0.638919,
saccade,0.014583,7188.000000,7195.000000,14.972917,14.987500,-0.160702,0.387889,-0.252559,-0.254222,0.548590,-0.001663,0.548593,-0.173719,51.702392,13.786801,0.548593,
saccade,0.018750,7323.000000,7332.000000,15.254167,15.272917,0.397727,-0.256708,-0.258252,-0.353874,-0.654434,-0.095622,0.661383,-171.687113,49.307265,13.376899,0.661383,
saccade,0.027083,7541.000000,7554.000000,15.708333,15.735417,-0.162320,-0.952351,-0.405265,-0.599623,-0.790032,-0.194359,0.813588,-166.178902,44.618525,13.303400,0.817236,
saccade,0.012500,8036.000000,8042.000000,16.739583,16.752083,0.495333,1.081602,-0.430774,-0.425356,0.586270,0.005418,0.586295,0.529499,72.374068,23.664207,0.586295,
saccade,0.022917,8076.000000,8087.000000,16.822917,16.845833,0.816138,-0.943385,-0.439072,-0.579343,-1.759523,-0.140271,1.765105,-175.441973,111.066571,30.904443,1.765105,
saccade,0.016667,8340.000000,8348.000000,17.372917,17.389583,-0.536965,0.238508,-0.586286,-0.552235,0.775473,0.034051,0.776220,2.514251,64.145069,17.190158,0.776220,
saccade,0.002083,8499.000000,8500.000000,17.704167,17.706250,-0.043835,-0.136174,-0.510775,-0.513495,-0.092339,-0.002720,0.092379,-178.312614,56.252003,15.940689,0.092379,
saccade,0.002083,8742.000000,8743.000000,18.210417,18.212500,-0.853617,-0.937316,-0.597118,-0.602278,-0.083699,-0.005160,0.083858,-176.472283,47.866024,16.906547,0.083858,
saccade,0.031250,8933.000000,8948.000000,18.608333,18.639583,-0.683859,2.401473,-0.634021,-0.484097,3.085332,0.149924,3.088972,2.781951,142.380481,44.313863,3.088972,
saccade,0.016667,9143.000000,9151.000000,19.045833,19.062500,2.374161,2.008444,-0.374819,-0.363671,-0.365718,0.011148,0.365888,178.254008,38.296638,8.899185,0.365888,
drift,0.252083,1.000000,122.000000,0.000000,0.252083,0.000468,0.369378,0.003070,-0.043060,0.368910,-0.046130,0.371783,-7.127502,73.439374,73.439374,0.371783,
