saccadeOrDrift,duration,onsetIndex,offsetIndex,onsetTime,offsetTime,xStart,xEnd,yStart,yEnd,xAmplitude,yAmplitude,vectorAmplitude,direction,peakVelocity,meanVelocity,maximumExcursion
saccade,0.012500,197.000000,203.000000,0.408333,0.420833,1.630159,2.713333,0.077857,0.030000,1.083175,-0.047857,1.084231,-2.529814,155.381997,24.778945,1.133537,
saccade,0.014583,437.000000,444.000000,0.908333,0.922917,3.390000,1.851667,0.045556,-0.008333,-1.538333,-0.053889,1.539277,-177.993709,222.125530,36.789493,1.615719,
saccade,0.012500,714.000000,720.000000,1.485417,1.497917,1.858330,2.135772,-0.059765,-0.066132,0.277442,-0.006368,0.277515,-1.314754,29.502272,16.442751,0.277515,
saccade,0.016667,1176.000000,1184.000000,2.447917,2.464583,4.017381,5.930472,-0.022659,-0.251944,1.913091,-0.229286,1.926782,-6.834353,218.739457,55.835194,1.968228,
saccade,0.010417,1398.000000,1403.000000,2.910417,2.920833,5.615397,4.656667,-0.156746,-0.129206,-0.958730,0.027540,0.959126,178.354622,174.728503,34.392465,1.017844,
saccade,0.012500,1414.000000,1420.000000,2.943750,2.956250,4.293532,2.692083,-0.113571,-0.096488,-1.601448,0.017083,1.601540,179.388825,233.204823,41.884171,1.672601,
saccade,0.012500,1462.000000,1468.000000,3.043750,3.056250,2.520238,1.451810,-0.009762,0.400333,-1.068429,0.410095,1.144429,159.001686,162.669607,25.063880,1.174322,
saccade,0.012500,1670.000000,1676.000000,3.477083,3.489583,2.014048,3.253333,0.316667,0.316032,1.239286,-0.000635,1.239286,-0.029354,170.895238,36.098928,1.239286,
saccade,0.014583,2085.000000,2092.000000,4.341667,4.356250,1.865635,4.305159,0.233333,0.178333,2.439524,-0.055000,2.440144,-1.291537,307.508570,49.795720,2.440144,
saccade,0.014583,2646.000000,2653.000000,5.510417,5.525000,2.148730,3.818829,0.056905,-0.070000,1.670099,-0.126905,1.674914,-4.345347,243.380148,36.914497,1.725209,
saccade,0.016667,2927.000000,2935.000000,6.095833,6.112500,1.249169,2.052264,0.080710,0.076662,0.803095,-0.004048,0.803105,-0.288770,66.316135,19.746134,0.803105,
saccade,0.014583,3188.000000,3195.000000,6.639583,6.654167,1.963475,1.136616,0.061850,-0.104240,-0.826859,-0.166090,0.843375,-168.642206,122.650728,19.681733,0.882229,
saccade,0.016667,3427.000000,3435.000000,7.137500,7.154167,1.151332,2.359110,-0.039052,-0.033933,1.207778,0.005119,1.207789,0.242841,150.076337,22.813070,1.224301,
saccade,0.008333,3689.000000,3693.000000,7.683333,7.691667,2.471252,2.415379,-0.037386,-0.038202,-0.055873,-0.000816,0.055879,-179.162946,11.659026,2.990607,0.061830,
saccade,0.045833,4502.000000,4524.000000,9.377083,9.422917,0.384307,4.081700,-0.207487,-0.118539,3.697393,0.088948,3.698462,1.378102,147.089552,45.336307,3.698462,
saccade,0.012500,5000.000000,5006.000000,10.414583,10.427083,4.377900,5.153376,-0.136614,-0.105424,0.775476,0.031190,0.776103,2.303256,113.783858,19.615431,0.788976,
saccade,0.010417,5640.000000,5645.000000,11.747917,11.758333,3.875360,4.429567,-0.032567,-0.078043,0.554206,-0.045476,0.556069,-4.690977,99.536938,17.515084,0.594080,
saccade,0.014583,5656.000000,5663.000000,11.781250,11.795833,4.323852,5.377265,-0.102170,-0.264233,1.053413,-0.162063,1.065806,-8.746162,145.744780,23.597130,1.065806,
saccade,0.012500,6071.000000,6077.000000,12.645833,12.658333,5.376710,5.094567,-0.148916,-0.148440,-0.282143,0.000476,0.282143,179.903298,39.950868,10.478885,0.293740,
saccade,0.029167,6091.000000,6105.000000,12.687500,12.716667,5.153677,4.415289,-0.138927,-0.122844,-0.738387,0.016083,0.738562,178.752241,45.783093,13.643271,0.738562,
saccade,0.012500,6216.000000,6222.000000,12.947917,12.960417,4.299467,4.511442,-0.095840,0.022076,0.211974,0.117917,0.242564,29.086241,35.056798,5.773191,0.249683,
saccade,0.014583,6693.000000,6700.000000,13.941667,13.956250,3.793631,3.854015,-0.040900,-0.050840,0.060384,-0.009940,0.061197,-9.347668,6.846259,1.960195,0.061197,
saccade,0.012500,7610.000000,7616.000000,15.852083,15.864583,7.936888,7.328724,-0.664800,-0.634290,-0.608163,0.030510,0.608928,177.128005,64.736292,21.574265,0.608928,
saccade,0.014583,7701.000000,7708.000000,16.041667,16.056250,6.658917,5.784790,-0.559970,-0.392669,-0.874127,0.167302,0.889993,169.165033,131.137407,26.557657,0.952861,
saccade,0.010417,7894.000000,7899.000000,16.443750,16.454167,4.779552,4.177330,-0.247192,-0.113304,-0.602222,0.133889,0.616926,167.465596,113.274946,26.674174,0.653271,
saccade,0.012500,8214.000000,8220.000000,17.110417,17.122917,3.940544,5.218996,0.040149,-0.003304,1.278452,-0.043452,1.279191,-1.946635,232.047931,33.589213,1.358440,
saccade,0.010417,8262.000000,8267.000000,17.210417,17.220833,6.293838,6.966774,-0.166637,-0.244177,0.672937,-0.077540,0.677389,-6.572968,115.109570,25.216946,0.724389,
saccade,0.008333,8470.000000,8474.000000,17.643750,17.652083,7.513679,7.085822,-0.347351,-0.343304,-0.427857,0.004048,0.427876,179.457986,75.448090,24.443131,0.427876,
saccade,0.014583,8486.000000,8493.000000,17.677083,17.691667,6.671139,5.084631,-0.336875,-0.333145,-1.586508,0.003730,1.586512,179.865288,217.295322,41.894733,1.602778,
saccade,0.012500,8553.000000,8559.000000,17.816667,17.829167,4.186377,3.586199,-0.096875,0.065595,-0.600179,0.162470,0.621780,164.852881,83.159674,24.104110,0.627081,
saccade,0.014583,8934.000000,8941.000000,18.610417,18.625000,2.765584,4.405616,0.124046,0.024649,1.640032,-0.099397,1.643041,-3.468263,205.916085,33.079799,1.645446,
saccade,0.014583,9497.000000,9504.000000,19.783333,19.797917,7.598510,7.910613,2.214737,2.375887,0.312103,0.161151,0.351251,27.309037,46.403470,8.090803,0.362730,
saccade,0.014583,10002.000000,10009.000000,20.835417,20.850000,6.748044,7.753103,2.513188,2.600688,1.005060,0.087500,1.008861,4.975598,145.767561,24.396061,1.043133,
saccade,0.010417,10045.000000,10050.000000,20.925000,20.935417,7.688937,7.863460,2.606790,2.643992,0.174524,0.037202,0.178445,12.033354,31.565411,6.714219,0.190805,
saccade,0.014583,10123.000000,10130.000000,21.087500,21.102083,7.521069,7.917701,2.524991,2.651260,0.396631,0.126269,0.416245,17.659025,51.454848,9.053895,0.427766,
saccade,0.016667,10310.000000,10318.000000,21.477083,21.493750,8.341330,8.671334,2.507331,2.633672,0.330004,0.126341,0.353362,20.949136,39.838314,7.849200,0.363117,
saccade,0.010417,10650.000000,10655.000000,22.185417,22.195833,8.526646,8.702734,2.376935,2.424897,0.176088,0.047962,0.182503,15.236375,27.269821,6.383215,0.182503,
saccade,0.012500,10796.000000,10802.000000,22.489583,22.502083,7.283486,7.588800,2.415557,2.552839,0.305314,0.137282,0.334758,24.210734,48.037946,7.940284,0.345823,
saccade,0.010417,10991.000000,10996.000000,22.895833,22.906250,8.125591,8.303662,2.450126,2.511434,0.178071,0.061307,0.188329,18.997909,29.951993,6.428314,0.189671,
saccade,0.012500,11040.000000,11046.000000,22.997917,23.010417,8.069589,8.383684,2.461137,2.515336,0.314095,0.054199,0.318737,9.790352,45.988859,8.225505,0.331934,
saccade,0.010417,11355.000000,11360.000000,23.654167,23.664583,7.203105,7.205750,2.448539,2.708810,0.002645,0.260271,0.260284,89.417833,44.237692,12.740789,0.282307,
saccade,0.010417,11355.000000,11360.000000,23.654167,23.664583,7.203105,7.205750,2.448539,2.708810,0.002645,0.260271,0.260284,89.417833,44.237692,15.927904,0.282307,
saccade,0.010417,11433.000000,11438.000000,23.816667,23.827083,6.787660,6.962201,2.904955,2.968430,0.174541,0.063475,0.185725,19.984591,34.142801,7.005880,0.197349,
saccade,0.010417,11523.000000,11528.000000,24.004167,24.014583,6.684613,6.704264,3.017580,3.259575,0.019651,0.241995,0.242792,85.357434,37.802412,8.495844,0.242792,
saccade,0.006250,11572.000000,11575.000000,24.106250,24.112500,6.440988,6.389083,3.429643,3.520754,-0.051905,0.091111,0.104859,119.669577,26.474032,14.011331,0.104859,
saccade,0.006250,11618.000000,11621.000000,24.202083,24.208333,6.124083,6.112655,3.747500,3.831072,-0.011429,0.083571,0.084349,97.787018,27.144361,12.942020,0.084349,
