saccadeOrDrift,duration,onsetIndex,offsetIndex,onsetTime,offsetTime,xStart,xEnd,yStart,yEnd,xAmplitude,yAmplitude,vectorAmplitude,direction,peakVelocity,meanVelocity,maximumExcursion
saccade,0.012500,7.000000,13.000000,0.012500,0.025000,0.042460,0.141429,-0.053333,-0.055000,0.098968,-0.001667,0.098982,-0.964794,10.495394,4.622304,0.098982,
saccade,0.020833,430.000000,440.000000,0.893750,0.914583,0.473095,0.611667,-0.037460,-0.097381,0.138571,-0.059921,0.150972,-23.384474,10.553962,4.013043,0.150972,
saccade,0.014583,970.000000,977.000000,2.018750,2.033333,0.866667,0.239444,-0.093889,-0.099365,-0.627222,-0.005476,0.627246,-179.499771,73.866912,13.836414,0.627246,
saccade,0.014583,1216.000000,1223.000000,2.531250,2.545833,0.580635,1.332778,-0.104206,-0.176667,0.752143,-0.072460,0.755625,-5.502808,76.880072,18.435896,0.755625,
saccade,0.008333,1418.000000,1422.000000,2.952083,2.960417,1.170556,0.961905,-0.029286,-0.023016,-0.208651,0.006270,0.208745,178.278811,34.676278,10.403354,0.208745,
saccade,0.022917,1589.000000,1600.000000,3.308333,3.331250,1.094683,-0.035238,-0.028492,-0.019444,-1.129921,0.009048,1.129957,179.541225,86.419182,20.531557,1.129957,
saccade,0.025000,2586.000000,2598.000000,5.385417,5.410417,0.470079,-0.410000,0.217857,0.307222,-0.880079,0.089365,0.884605,174.201941,70.406290,16.075914,0.893007,
saccade,0.014583,3124.000000,3131.000000,6.506250,6.520833,0.200476,0.988810,0.233016,0.112857,0.788333,-0.120159,0.797438,-8.666390,98.380738,18.874276,0.797438,
saccade,0.016667,3506.000000,3514.000000,7.302083,7.318750,0.865794,0.130476,0.481984,0.495476,-0.735317,0.013492,0.735441,178.948819,80.139454,17.234144,0.750970,
saccade,0.022917,3581.000000,3592.000000,7.458333,7.481250,0.049683,-1.032143,0.556667,0.686667,-1.081825,0.130000,1.089608,173.147779,77.543952,22.128154,1.097016,
saccade,0.006250,3589.000000,3592.000000,7.475000,7.481250,-0.960317,-1.032143,0.687937,0.686667,-0.071825,-0.001270,0.071837,-178.987141,39.009821,6.070895,0.079296,
saccade,0.014583,4354.000000,4361.000000,9.068750,9.083333,-0.271905,0.472143,0.570635,0.351746,0.744048,-0.218889,0.775577,-16.393180,78.102088,18.243444,0.775577,
saccade,0.012500,4761.000000,4767.000000,9.916667,9.929167,0.461905,-0.762857,0.723095,0.816905,-1.224762,0.093810,1.228349,175.620034,121.417933,32.620308,1.228349,
saccade,0.010417,4931.000000,4936.000000,10.270833,10.281250,-1.188889,-2.130238,0.773968,0.468571,-0.941349,-0.305397,0.989649,-162.025663,143.044614,40.115427,0.989649,
saccade,0.025000,5007.000000,5019.000000,10.429167,10.454167,-2.176905,1.443720,0.004683,0.118056,3.620625,0.113373,3.622400,1.793523,202.934010,66.961054,3.627381,
saccade,0.018750,5264.000000,5273.000000,10.964583,10.983333,1.462937,-1.340704,0.685952,0.524444,-2.803641,-0.161508,2.808289,-176.703034,253.861293,56.450262,2.808289,
saccade,0.029167,5402.000000,5416.000000,11.252083,11.281250,-1.937937,-3.221825,0.417381,0.575238,-1.283889,0.157857,1.293557,172.990530,71.049090,21.654858,1.293557,
saccade,0.022917,5868.000000,5879.000000,12.222917,12.245833,-2.869286,-4.100476,0.483889,0.468095,-1.231190,-0.015794,1.231292,-179.265053,81.390512,22.789168,1.231292,
saccade,0.016667,6174.000000,6182.000000,12.860417,12.877083,-4.043651,-4.754524,0.515952,0.453651,-0.710873,-0.062302,0.713598,-174.991341,56.441258,16.750289,0.713598,
saccade,0.022917,6482.000000,6493.000000,13.502083,13.525000,-4.739683,-6.437857,0.451667,0.215794,-1.698175,-0.235873,1.714477,-172.092326,125.358032,29.385710,1.714477,
saccade,0.012500,7034.000000,7040.000000,14.652083,14.664583,-6.407857,-7.257438,-0.017751,0.011389,-0.849581,0.029140,0.850081,178.035553,114.753449,21.756967,0.850081,
saccade,0.016667,7156.000000,7164.000000,14.906250,14.922917,-6.190238,-5.301190,-0.271984,-0.365000,0.889048,-0.093016,0.893900,-5.972794,100.187969,28.689531,0.903995,
saccade,0.018750,7353.000000,7362.000000,15.316667,15.335417,-5.319841,-6.072381,-0.324048,-0.200476,-0.752540,0.123571,0.762618,170.674915,82.696762,15.116613,0.763086,
saccade,0.020833,8306.000000,8316.000000,17.302083,17.322917,-5.561429,-5.134885,-0.298254,-0.369163,0.426544,-0.070909,0.432397,-9.438550,32.720562,11.526182,0.432397,
saccade,0.006250,8512.000000,8515.000000,17.731250,17.737500,-4.619097,-4.767222,-0.476250,-0.501349,-0.148125,-0.025099,0.150236,-170.382801,31.510962,8.609700,0.150236,
saccade,0.016667,8905.000000,8913.000000,18.550000,18.566667,-4.886528,-5.770952,-0.495397,-0.526905,-0.884425,-0.031508,0.884986,-177.959681,99.303685,19.445434,0.895728,
saccade,0.018750,9151.000000,9160.000000,19.062500,19.081250,-5.443651,-4.582242,-0.511190,-0.625089,0.861409,-0.113899,0.868906,-7.532178,72.598170,17.704564,0.868906,
saccade,0.027083,9341.000000,9354.000000,19.458333,19.485417,-4.618770,-5.427857,-0.530377,-0.500804,-0.809087,0.029573,0.809628,177.906681,52.823295,14.542810,0.812350,
saccade,0.020833,9822.000000,9832.000000,20.460417,20.481250,-4.234921,-2.116667,-0.249603,-0.846190,2.118254,-0.596587,2.200663,-15.729400,158.048146,39.856837,2.200663,
saccade,0.012500,9958.000000,9964.000000,20.743750,20.756250,-3.513776,-4.088968,-0.719082,-0.750635,-0.575193,-0.031553,0.576058,-176.860079,64.120225,27.203148,0.576058,
saccade,0.010417,10038.000000,10043.000000,20.910417,20.920833,-3.971032,-3.677857,0.117381,0.257857,0.293175,0.140476,0.325092,25.601662,49.657669,21.330937,0.325092,
saccade,0.029167,10194.000000,10208.000000,21.235417,21.264583,-3.614524,-5.128333,0.605397,-0.160714,-1.513810,-0.766111,1.696628,-153.156869,87.729754,30.157356,1.696628,
saccade,0.012500,10640.000000,10646.000000,22.164583,22.177083,-3.310413,-3.367718,0.321762,0.284809,-0.057306,-0.036953,0.068187,-147.184432,9.345839,2.413960,0.068187,
saccade,0.008333,11251.000000,11255.000000,23.437500,23.445833,-4.812743,-4.878273,-0.440010,-0.446651,-0.065530,-0.006642,0.065866,-174.212757,9.842647,5.696774,0.065866,
saccade,0.018750,12118.000000,12127.000000,25.243750,25.262500,-5.717200,-4.705533,-0.488673,-0.538752,1.011667,-0.050079,1.012905,-2.833933,91.916731,20.766482,1.030190,
drift,0.012500,1.000000,7.000000,0.000000,0.012500,0.000278,0.042460,0.002857,-0.053333,0.042183,-0.056190,0.070262,-53.104215,8.611383,8.611383,0.070262,
drift,0.866667,14.000000,430.000000,0.027083,0.893750,0.146190,0.473095,-0.055476,-0.037460,0.326905,0.018016,0.327401,3.154406,8.228770,8.228770,0.333018,
drift,1.102083,441.000000,970.000000,0.916667,2.018750,0.612222,0.866667,-0.105000,-0.093889,0.254444,0.011111,0.254687,2.500411,33.538438,33.538438,0.408258,
drift,0.495833,978.000000,1216.000000,2.035417,2.531250,0.237619,0.580635,-0.100079,-0.104206,0.343016,-0.004127,0.343041,-0.689319,57.319562,57.319562,0.343041,
drift,0.404167,1224.000000,1418.000000,2.547917,2.952083,1.350079,1.170556,-0.175476,-0.029286,-0.179524,0.146190,0.231518,140.843260,32.998591,32.998591,0.231518,
drift,0.345833,1423.000000,1589.000000,2.962500,3.308333,0.959048,1.094683,-0.023413,-0.028492,0.135635,-0.005079,0.135730,-2.144656,36.332723,36.332723,0.296893,
drift,2.052083,1601.000000,2586.000000,3.333333,5.385417,-0.030952,0.470079,-0.025476,0.217857,0.501032,0.243333,0.556995,25.904200,35.047805,35.047805,0.674327,
drift,1.093750,2599.000000,3124.000000,5.412500,6.506250,-0.410000,0.200476,0.304444,0.233016,0.610476,-0.071429,0.614641,-6.673531,60.837016,60.837016,0.614641,
drift,0.779167,3132.000000,3506.000000,6.522917,7.302083,0.995159,0.865794,0.113333,0.481984,-0.129365,0.368651,0.390690,109.336735,42.961756,42.961756,0.390690,
drift,0.137500,3515.000000,3581.000000,7.320833,7.458333,0.131984,0.049683,0.498333,0.556667,-0.082302,0.058333,0.100878,144.671927,28.187452,28.187452,0.100878,
drift,1.585417,3593.000000,4354.000000,7.483333,9.068750,-1.028333,-0.271905,0.686667,0.570635,0.756429,-0.116032,0.765276,-8.720864,44.804134,44.804134,0.765276,
drift,0.831250,4362.000000,4761.000000,9.085417,9.916667,0.477381,0.461905,0.354524,0.723095,-0.015476,0.368571,0.368896,92.404418,105.953096,105.953096,0.590251,
drift,0.339583,4768.000000,4931.000000,9.931250,10.270833,-0.830952,-1.188889,0.818254,0.773968,-0.357937,-0.044286,0.360666,-172.946920,135.072245,135.072245,0.360666,
drift,0.145833,4937.000000,5007.000000,10.283333,10.429167,-2.211488,-2.176905,0.370774,0.004683,0.034583,-0.366091,0.367721,-84.603487,110.228721,110.228721,0.622734,
drift,0.508333,5020.000000,5264.000000,10.456250,10.964583,1.426815,1.462937,0.144474,0.685952,0.036121,0.541478,0.542682,86.183556,95.454235,95.454235,0.641588,
drift,0.266667,5274.000000,5402.000000,10.985417,11.252083,-1.434524,-1.937937,0.498750,0.417381,-0.503413,-0.081369,0.509946,-170.818413,41.114049,41.114049,0.509946,
drift,0.939583,5417.000000,5868.000000,11.283333,12.222917,-3.221111,-2.869286,0.562619,0.483889,0.351825,-0.078730,0.360527,-12.613627,49.788487,49.788487,0.557274,
drift,0.612500,5880.000000,6174.000000,12.247917,12.860417,-4.113333,-4.043651,0.465952,0.515952,0.069683,0.050000,0.085765,35.660947,44.696755,44.696755,0.305003,
