saccadeOrDrift,duration,onsetIndex,offsetIndex,onsetTime,offsetTime,xStart,xEnd,yStart,yEnd,xAmplitude,yAmplitude,vectorAmplitude,direction,peakVelocity,meanVelocity,maximumExcursion
saccade,0.014583,61.000000,68.000000,0.125000,0.139583,-0.017540,0.185794,0.005476,-0.000000,0.203333,-0.005476,0.203407,-1.542722,24.430344,5.035305,0.203407,
saccade,0.010417,1099.000000,1104.000000,2.287500,2.297917,0.009206,0.061032,0.000000,0.000000,0.051825,0.000000,0.051825,0.000000,6.933333,3.796491,0.051825,
saccade,0.014583,1105.000000,1112.000000,2.300000,2.314583,0.069683,0.160238,0.000000,0.000238,0.090556,0.000238,0.090556,0.150646,8.990476,3.292505,0.090556,
saccade,0.016667,1853.000000,1861.000000,3.858333,3.875000,-0.010238,0.231190,0.012460,0.002222,0.241429,-0.010238,0.241646,-2.428248,20.969915,4.692448,0.241646,
saccade,0.012500,2395.000000,2401.000000,4.987500,5.000000,0.139444,0.378333,0.003333,0.003333,0.238889,-0.000000,0.238889,-0.000000,34.552381,5.645997,0.248730,
saccade,0.010417,2413.000000,2418.000000,5.025000,5.035417,0.396111,0.525397,0.001111,0.000238,0.129286,-0.000873,0.129289,-0.386890,18.669815,4.223054,0.129289,
saccade,0.010417,2493.000000,2498.000000,5.191667,5.202083,0.373016,0.229762,0.002222,0.003175,-0.143254,0.000952,0.143257,179.619092,19.220643,6.432489,0.143257,
saccade,0.014583,2603.000000,2610.000000,5.420833,5.435417,0.200714,0.430000,0.005000,0.000159,0.229286,-0.004841,0.229337,-1.209596,32.865539,8.028274,0.239976,
saccade,0.012500,2621.000000,2627.000000,5.458333,5.470833,0.385952,0.554048,-0.000635,-0.002460,0.168095,-0.001825,0.168105,-0.622168,20.863022,5.911090,0.168105,
saccade,0.014583,3596.000000,3603.000000,7.489583,7.504167,0.300714,0.610238,-0.007778,0.003254,0.309524,0.011032,0.309720,2.041216,36.975005,7.120671,0.309720,
saccade,0.014583,3755.000000,3762.000000,7.820833,7.835417,0.589286,0.407381,-0.003175,-0.006667,-0.181905,-0.003492,0.181938,-178.900216,21.777060,4.440706,0.181938,
saccade,0.014583,4747.000000,4754.000000,9.887500,9.902083,0.056508,-1.785476,-0.016429,-0.292619,-1.841984,-0.276190,1.862575,-171.472494,257.936477,42.394647,1.862575,
saccade,0.014583,4754.000000,4761.000000,9.902083,9.916667,-1.785476,-2.320000,-0.292619,-0.379841,-0.534524,-0.087222,0.541593,-170.732302,73.555979,17.832453,0.557352,
saccade,0.014583,4891.000000,4898.000000,10.187500,10.202083,-2.592540,-2.718333,-0.397698,-0.451667,-0.125794,-0.053968,0.136882,-156.779599,19.498381,3.204681,0.143969,
saccade,0.012500,4908.000000,4914.000000,10.222917,10.235417,-2.724762,-2.818333,-0.450159,-0.477460,-0.093571,-0.027302,0.097473,-163.734197,11.172967,2.627841,0.097473,
saccade,0.012500,5053.000000,5059.000000,10.525000,10.537500,-2.859365,-2.902778,-0.517937,-0.591508,-0.043413,-0.073571,0.085425,-120.543814,9.925254,2.566948,0.085425,
