saccadeOrDrift,duration,onsetIndex,offsetIndex,onsetTime,offsetTime,xStart,xEnd,yStart,yEnd,xAmplitude,yAmplitude,vectorAmplitude,direction,peakVelocity,meanVelocity,maximumExcursion
saccade,0.022917,50.000000,61.000000,0.102083,0.125000,-0.204762,-1.740714,0.059762,0.210238,-1.535952,0.150476,1.543306,174.404628,108.539330,27.374744,1.552127,
saccade,0.012500,475.000000,481.000000,0.987500,1.000000,-1.420556,-1.940317,0.236905,0.238095,-0.519762,0.001190,0.519763,179.868768,63.851301,13.387796,0.519763,
saccade,0.018750,702.000000,711.000000,1.460417,1.479167,-1.986190,-2.843571,0.287698,0.297381,-0.857381,0.009683,0.857436,179.352977,73.190481,18.373792,0.859143,
saccade,0.014583,864.000000,871.000000,1.797917,1.812500,-2.751270,-2.415238,0.192143,0.173333,0.336032,-0.018810,0.336558,-3.203813,31.489540,10.008575,0.336558,
saccade,0.014583,1027.000000,1034.000000,2.137500,2.152083,-1.956429,-2.406667,0.339286,0.366270,-0.450238,0.026984,0.451046,176.570194,43.657509,11.699158,0.451046,
saccade,0.018750,1391.000000,1400.000000,2.895833,2.914583,-2.170238,-2.971667,0.354127,0.381667,-0.801429,0.027540,0.801902,178.031906,73.603670,17.459272,0.801902,
saccade,0.010417,1772.000000,1777.000000,3.689583,3.700000,-3.018810,-3.319206,0.310476,0.304524,-0.300397,-0.005952,0.300456,-178.864829,46.612361,10.117717,0.300456,
saccade,0.012500,1846.000000,1852.000000,3.843750,3.856250,-2.794286,-2.450635,0.334048,0.266825,0.343651,-0.067222,0.350164,-11.067986,47.187692,9.716732,0.350164,
saccade,0.022917,1992.000000,2003.000000,4.147917,4.170833,-2.222222,-3.408333,0.521667,0.788730,-1.186111,0.267063,1.215805,167.310950,95.071681,22.792097,1.217520,
saccade,0.018750,2495.000000,2504.000000,5.195833,5.214583,-2.918571,-4.125238,0.777222,0.553571,-1.206667,-0.223651,1.227218,-169.499617,104.043028,25.123495,1.231006,
saccade,0.020833,2843.000000,2853.000000,5.920833,5.941667,-3.816905,-4.741825,0.654921,0.626667,-0.924921,-0.028254,0.925352,-178.250304,74.142739,18.227438,0.930208,
saccade,0.020833,3152.000000,3162.000000,6.564583,6.585417,-4.610556,-4.309683,0.524048,0.490000,0.300873,-0.034048,0.302793,-6.456282,25.525494,6.599596,0.302793,
saccade,0.012500,3824.000000,3830.000000,7.964583,7.977083,-3.453571,-3.339286,0.503095,0.449206,0.114286,-0.053889,0.126354,-25.245180,17.648624,4.822805,0.127567,
saccade,0.020833,4276.000000,4286.000000,8.906250,8.927083,-2.647857,-3.598016,0.753571,0.760238,-0.950159,0.006667,0.950182,179.597998,72.933356,17.658780,0.951136,
saccade,0.010417,4642.000000,4647.000000,9.668750,9.679167,-3.334524,-3.646746,1.040079,1.293968,-0.312222,0.253889,0.402421,140.883120,45.718992,12.510147,0.402421,
saccade,0.018750,4796.000000,4805.000000,9.989583,10.008333,-3.730714,-4.729444,1.347222,1.320000,-0.998730,-0.027222,0.999101,-178.438685,77.009137,21.700486,0.999101,
saccade,0.022917,4907.000000,4918.000000,10.220833,10.243750,-4.797381,-6.041429,1.329524,1.573810,-1.244048,0.244286,1.267805,168.890542,77.395724,24.088304,1.267805,
saccade,0.016667,5277.000000,5285.000000,10.991667,11.008333,-4.859048,-4.278859,2.137302,1.404792,0.580188,-0.732510,0.934446,-51.618823,67.338081,22.671010,0.934446,
saccade,0.020833,5521.000000,5531.000000,11.500000,11.520833,-4.508413,-6.111905,1.563810,2.287302,-1.603492,0.723492,1.759155,155.715209,125.825798,34.917930,1.759155,
saccade,0.012500,5944.000000,5950.000000,12.381250,12.393750,-7.044940,-8.559048,3.397500,3.469048,-1.514107,0.071548,1.515797,177.294558,191.296900,39.253898,1.515797,
saccade,0.012500,6040.000000,6046.000000,12.581250,12.593750,-8.416190,-9.744048,3.383968,3.285556,-1.327857,-0.098413,1.331499,-175.761335,155.463908,34.919465,1.331499,
saccade,0.022917,6108.000000,6119.000000,12.722917,12.745833,-9.352381,-6.582381,2.987222,2.241825,2.770000,-0.745397,2.868539,-15.061306,176.960924,53.817063,2.868539,
saccade,0.012500,6187.000000,6193.000000,12.887500,12.900000,-6.432328,-5.605185,2.380000,2.351667,0.827143,-0.028333,0.827628,-1.961869,98.823133,28.921770,0.827628,
saccade,0.012500,6274.000000,6280.000000,13.068750,13.081250,-6.700748,-7.392091,3.439417,3.749112,-0.691343,0.309695,0.757540,155.869481,75.395452,33.962210,0.757540,
saccade,0.020833,6411.000000,6421.000000,13.354167,13.375000,-7.073758,-5.916644,3.568239,2.571472,1.157114,-0.996767,1.527238,-40.742441,117.201595,28.601900,1.527238,
saccade,0.022917,6481.000000,6492.000000,13.500000,13.522917,-4.972818,-4.790279,1.424407,1.246735,0.182540,-0.177672,0.254731,-44.225780,14.840870,8.431866,0.254731,
saccade,0.010417,6516.000000,6521.000000,13.572917,13.583333,-4.501653,-4.469588,0.984338,0.931482,0.032066,-0.052856,0.061822,-58.756399,11.760732,3.584914,0.065567,
saccade,0.020833,7359.000000,7369.000000,15.329167,15.350000,-7.649748,-7.403796,2.506433,2.507862,0.245952,0.001429,0.245957,0.332789,19.328566,6.691637,0.265043,
saccade,0.012500,7828.000000,7834.000000,16.306250,16.318750,-6.414034,-6.012685,2.760005,2.833814,0.401349,0.073810,0.408080,10.420460,51.453359,10.262550,0.408080,
saccade,0.002083,7980.000000,7981.000000,16.622917,16.625000,-6.414193,-6.470542,3.227862,3.231195,-0.056349,0.003333,0.056448,176.614617,34.742406,15.819039,0.056448,
