saccadeOrDrift,duration,onsetIndex,offsetIndex,onsetTime,offsetTime,xStart,xEnd,yStart,yEnd,xAmplitude,yAmplitude,vectorAmplitude,direction,peakVelocity,meanVelocity,maximumExcursion
saccade,0.060417,101.000000,130.000000,0.208333,0.268750,-0.040265,0.679092,-0.003950,0.258341,0.719357,0.262291,0.765683,20.032818,47.982802,11.495935,0.888623,
saccade,0.064583,324.000000,355.000000,0.672917,0.737500,0.453744,1.801543,0.189669,-0.107378,1.347799,-0.297047,1.380144,-12.428975,79.011258,17.864266,1.569344,
saccade,0.033333,558.000000,574.000000,1.160417,1.193750,1.579465,0.988976,-0.129408,0.105056,-0.590490,0.234464,0.635336,158.343605,34.867585,9.609070,0.635336,
saccade,0.037500,836.000000,854.000000,1.739583,1.777083,0.954394,2.225641,0.053970,0.040171,1.271247,-0.013799,1.271322,-0.621917,66.994222,19.355669,1.295289,
saccade,0.022917,843.000000,854.000000,1.754167,1.777083,1.620119,2.225641,0.012699,0.040171,0.605522,0.027472,0.606145,2.597679,66.994222,15.214284,0.629785,
saccade,0.022917,1308.000000,1319.000000,2.722917,2.745833,1.729863,1.820010,0.012674,0.136793,0.090147,0.124119,0.153401,54.009200,9.624829,3.817803,0.153401,
saccade,0.029167,1590.000000,1604.000000,3.310417,3.339583,1.442097,1.792809,0.071967,0.176885,0.350711,0.104918,0.366069,16.654967,22.415892,7.133930,0.368886,
saccade,0.025000,1995.000000,2007.000000,4.154167,4.179167,1.184842,0.982689,0.079800,0.164592,-0.202152,0.084793,0.219215,157.244451,13.058513,4.307882,0.219508,
saccade,0.039583,2322.000000,2341.000000,4.835417,4.875000,0.871461,1.204669,0.049198,0.244199,0.333208,0.195001,0.386074,30.337169,22.301346,6.821588,0.388154,
saccade,0.043750,2403.000000,2424.000000,5.004167,5.047917,1.143518,-1.491418,0.216752,0.458577,-2.634936,0.241825,2.646009,174.756287,122.339073,33.394218,2.673608,
saccade,0.033333,2681.000000,2697.000000,5.583333,5.616667,-2.047178,-2.040801,0.377643,0.469816,0.006377,0.092172,0.092393,86.042511,9.353662,4.163036,0.117582,
saccade,0.056250,2857.000000,2884.000000,5.950000,6.006250,-2.243306,-1.409784,0.397344,0.466361,0.833522,0.069016,0.836374,4.733354,65.174775,14.826916,1.078080,
saccade,0.045833,3142.000000,3164.000000,6.543750,6.589583,-1.851863,-1.505374,0.298116,0.414879,0.346489,0.116763,0.365634,18.623242,28.268067,8.718392,0.494248,
saccade,0.031250,3326.000000,3341.000000,6.927083,6.958333,-1.770668,-0.657947,0.400752,0.437694,1.112721,0.036942,1.113334,1.901511,63.728200,19.028380,1.127828,
saccade,0.020833,3331.000000,3341.000000,6.937500,6.958333,-1.389508,-0.657947,0.403625,0.437694,0.731562,0.034069,0.732355,2.666387,63.728200,16.560636,0.746802,
saccade,0.056250,3528.000000,3555.000000,7.347917,7.404167,-1.230954,-0.712461,0.375121,0.528903,0.518494,0.153782,0.540818,16.520015,43.938209,10.331707,0.709596,
saccade,0.043750,3745.000000,3766.000000,7.800000,7.843750,-0.887513,-0.591098,0.450492,0.614910,0.296415,0.164419,0.338963,29.016699,27.030509,7.794686,0.427139,
saccade,0.047917,3886.000000,3909.000000,8.093750,8.141667,-0.826091,1.831377,0.573882,0.807150,2.657468,0.233267,2.667686,5.016455,122.047665,33.197909,2.676990,
