saccadeOrDrift,duration,onsetIndex,offsetIndex,onsetTime,offsetTime,xStart,xEnd,yStart,yEnd,xAmplitude,yAmplitude,vectorAmplitude,direction,peakVelocity,meanVelocity,maximumExcursion
saccade,0.012500,26.000000,32.000000,0.052083,0.064583,0.075451,0.016763,-0.005000,-0.004824,-0.058688,0.000176,0.058689,179.828638,7.750588,4.462948,0.060828,
saccade,0.012500,26.000000,32.000000,0.052083,0.064583,0.075451,0.016763,-0.005000,-0.004824,-0.058688,0.000176,0.058689,179.828638,7.750588,4.817754,0.060828,
saccade,0.014583,41.000000,48.000000,0.083333,0.097917,0.091743,0.014834,-0.008523,-0.005608,-0.076910,0.002915,0.076965,177.829600,8.182422,4.742373,0.076965,
saccade,0.014583,41.000000,48.000000,0.083333,0.097917,0.091743,0.014834,-0.008523,-0.005608,-0.076910,0.002915,0.076965,177.829600,8.182422,4.111006,0.076965,
saccade,0.010417,131.000000,136.000000,0.270833,0.281250,0.062417,0.121957,0.004375,0.089848,0.059541,0.085472,0.104166,55.138661,10.907125,4.771564,0.104166,
saccade,0.020833,131.000000,141.000000,0.270833,0.291667,0.062417,0.144059,0.004375,0.127021,0.081642,0.122646,0.147335,56.349342,10.907125,4.730553,0.149196,
saccade,0.022917,532.000000,543.000000,1.106250,1.129167,0.282609,0.091424,0.098389,0.106449,-0.191186,0.008060,0.191355,177.585854,14.102932,4.421794,0.198875,
saccade,0.022917,1687.000000,1698.000000,3.512500,3.535417,0.128302,-0.089330,0.129778,0.061706,-0.217632,-0.068072,0.228030,-162.631009,15.606255,5.152346,0.228030,
saccade,0.022917,2102.000000,2113.000000,4.377083,4.400000,-0.003679,-0.228502,0.062730,-0.000094,-0.224823,-0.062824,0.233436,-164.387626,16.518749,5.147400,0.233436,
saccade,0.016667,2322.000000,2330.000000,4.835417,4.852083,-0.094804,-0.007713,0.008712,0.019765,0.087091,0.011053,0.087790,7.232916,6.751337,3.775752,0.087790,
saccade,0.020833,2645.000000,2655.000000,5.508333,5.529167,0.209971,0.087812,0.054010,0.071814,-0.122159,0.017804,0.123449,171.708010,7.722968,3.395513,0.123449,
saccade,0.027083,4197.000000,4210.000000,8.741667,8.768750,0.070479,0.546371,0.144992,0.137332,0.475893,-0.007660,0.475954,-0.922173,27.688062,9.209802,0.478385,
saccade,0.018750,4201.000000,4210.000000,8.750000,8.768750,0.244095,0.546371,0.130034,0.137332,0.302276,0.007298,0.302364,1.383077,27.688062,7.614432,0.304746,
saccade,0.041667,4292.000000,4312.000000,8.939583,8.981250,0.647521,-0.015507,0.147244,0.135996,-0.663028,-0.011248,0.663123,-179.028092,27.624791,9.818416,0.687064,
saccade,0.018750,4782.000000,4791.000000,9.960417,9.979167,0.142652,0.250656,1.383150,1.421304,0.108004,0.038154,0.114545,19.456516,10.505739,5.738008,0.121502,
saccade,0.018750,4782.000000,4791.000000,9.960417,9.979167,0.142652,0.250656,1.383150,1.421304,0.108004,0.038154,0.114545,19.456516,10.505739,6.447176,0.121502,
saccade,0.016667,4806.000000,4814.000000,10.010417,10.027083,0.253971,0.172508,1.412675,1.415403,-0.081463,0.002728,0.081508,178.082185,8.568782,5.725767,0.083664,
saccade,0.016667,4806.000000,4814.000000,10.010417,10.027083,0.253971,0.172508,1.412675,1.415403,-0.081463,0.002728,0.081508,178.082185,8.568782,4.782063,0.083664,
saccade,0.012500,4849.000000,4855.000000,10.100000,10.112500,0.234309,0.257248,1.435924,1.493034,0.022938,0.057110,0.061544,68.117142,5.118831,4.101406,0.061544,
saccade,0.020833,4885.000000,4895.000000,10.175000,10.195833,0.377232,0.535524,1.757729,1.716969,0.158292,-0.040759,0.163455,-14.439637,11.446752,5.241020,0.163851,
saccade,0.016667,4925.000000,4933.000000,10.258333,10.275000,0.422803,0.509499,1.772517,1.713657,0.086696,-0.058859,0.104788,-34.173166,8.843987,4.680494,0.104788,
saccade,0.016667,4925.000000,4933.000000,10.258333,10.275000,0.422803,0.509499,1.772517,1.713657,0.086696,-0.058859,0.104788,-34.173166,8.843987,5.792856,0.104788,
saccade,0.016667,4942.000000,4950.000000,10.293750,10.310417,0.444615,0.530410,1.753571,1.733817,0.085794,-0.019755,0.088039,-12.966640,7.975306,5.061181,0.089476,
saccade,0.016667,4942.000000,4950.000000,10.293750,10.310417,0.444615,0.530410,1.753571,1.733817,0.085794,-0.019755,0.088039,-12.966640,7.975306,4.686056,0.089476,
saccade,0.012500,5119.000000,5125.000000,10.662500,10.675000,0.606980,0.556151,1.738989,1.777224,-0.050828,0.038235,0.063604,143.048240,7.796437,3.897336,0.064965,
saccade,0.025000,5135.000000,5147.000000,10.695833,10.720833,0.568018,0.284694,1.708371,1.698368,-0.283324,-0.010003,0.283500,-177.977956,18.448317,6.959051,0.284662,
saccade,0.012500,5503.000000,5509.000000,11.462500,11.475000,0.300509,0.252742,1.738460,1.760446,-0.047768,0.021986,0.052584,155.284718,6.991918,3.276806,0.054419,
saccade,0.037500,6934.000000,6952.000000,14.443750,14.481250,0.300949,1.132377,1.745260,1.725536,0.831428,-0.019724,0.831662,-1.358981,61.585445,17.014923,0.956974,
saccade,0.012500,7119.000000,7125.000000,14.829167,14.841667,0.203543,0.261850,1.715423,1.709462,0.058307,-0.005961,0.058611,-5.837482,6.637932,4.273806,0.058611,
saccade,0.012500,7119.000000,7125.000000,14.829167,14.841667,0.203543,0.261850,1.715423,1.709462,0.058307,-0.005961,0.058611,-5.837482,6.637932,3.967309,0.058611,
saccade,0.022917,7327.000000,7338.000000,15.262500,15.285417,0.250545,0.427923,1.665067,1.720781,0.177379,0.055715,0.185923,17.437598,14.155219,4.734616,0.197781,
saccade,0.025000,8020.000000,8032.000000,16.706250,16.731250,0.490640,0.233036,1.722747,1.724299,-0.257604,0.001552,0.257609,179.654720,16.830999,5.150419,0.260623,
saccade,0.022917,9441.000000,9452.000000,19.666667,19.689583,0.511615,0.684693,1.713782,1.680646,0.173078,-0.033135,0.176222,-10.837929,11.146873,5.331346,0.176222,
saccade,0.022917,9756.000000,9767.000000,20.322917,20.345833,1.946122,2.091628,-0.010154,-0.096093,0.145505,-0.085940,0.168989,-30.567340,10.579796,4.449004,0.168989,
saccade,0.018750,13927.000000,13936.000000,29.012500,29.031250,2.149619,2.050584,-0.116912,-0.157526,-0.099035,-0.040614,0.107039,-157.701590,11.845631,5.077666,0.124837,
saccade,0.018750,13927.000000,13936.000000,29.012500,29.031250,2.149619,2.050584,-0.116912,-0.157526,-0.099035,-0.040614,0.107039,-157.701590,11.845631,5.390633,0.124837,
saccade,0.014583,14161.000000,14168.000000,29.500000,29.514583,2.093866,2.159486,-0.149537,-0.103309,0.065620,0.046228,0.080268,35.163836,6.919278,3.669799,0.080268,
