saccadeOrDrift,duration,onsetIndex,offsetIndex,onsetTime,offsetTime,xStart,xEnd,yStart,yEnd,xAmplitude,yAmplitude,vectorAmplitude,direction,peakVelocity,meanVelocity,maximumExcursion
saccade,0.043750,101.000000,122.000000,0.208333,0.252083,0.129459,-1.083151,-0.203573,-0.846044,-1.212610,-0.642470,1.372294,-152.084267,80.000538,19.318811,1.416362,
saccade,0.060417,207.000000,236.000000,0.429167,0.489583,-1.104012,-0.070638,-0.886308,-0.167262,1.033374,0.719046,1.258923,34.831101,71.278106,16.866499,1.402302,
saccade,0.027083,267.000000,280.000000,0.554167,0.581250,-0.084208,-0.327823,-0.198094,0.006901,-0.243615,0.204995,0.318388,139.920450,19.941983,6.501765,0.328223,
saccade,0.033333,466.000000,482.000000,0.968750,1.002083,-0.572878,-1.836886,-0.166815,-0.338080,-1.264008,-0.171264,1.275558,-172.283806,72.270315,18.889146,1.282356,
saccade,0.047917,638.000000,661.000000,1.327083,1.375000,-1.986151,-3.452809,-0.433828,-1.392527,-1.466658,-0.958699,1.752196,-146.828890,97.558022,24.056921,1.799813,
saccade,0.037500,689.000000,707.000000,1.433333,1.470833,-3.559226,-4.555295,-1.410528,-1.555693,-0.996069,-0.145166,1.006592,-171.708167,53.679202,14.922242,1.026972,
saccade,0.037500,753.000000,771.000000,1.566667,1.604167,-4.537704,-5.758553,-1.592061,-1.633460,-1.220849,-0.041398,1.221551,-178.057870,69.692876,17.920111,1.254956,
saccade,0.022917,760.000000,771.000000,1.581250,1.604167,-4.978822,-5.758553,-1.588329,-1.633460,-0.779732,-0.045131,0.781037,-176.687424,69.692876,19.216533,0.814208,
saccade,0.025000,875.000000,887.000000,1.820833,1.845833,-5.692565,-5.947044,-1.657708,-1.630669,-0.254478,0.027039,0.255911,173.934837,18.769962,5.150925,0.261146,
saccade,0.039583,1177.000000,1196.000000,2.450000,2.489583,-6.080070,-4.379098,-1.760758,-2.051783,1.700972,-0.291024,1.725689,-9.708902,82.989313,23.850978,1.739355,
saccade,0.020833,1186.000000,1196.000000,2.468750,2.489583,-5.101412,-4.379098,-1.900550,-2.051783,0.722314,-0.151232,0.737976,-11.825326,82.683920,18.300531,0.751542,
saccade,0.037500,1267.000000,1285.000000,2.637500,2.675000,-4.475100,-6.367173,-2.050370,-2.322635,-1.892073,-0.272266,1.911562,-171.811455,99.949444,26.987317,1.942326,
saccade,0.022917,1274.000000,1285.000000,2.652083,2.675000,-5.310153,-6.367173,-2.110221,-2.322635,-1.057020,-0.212414,1.078152,-168.637437,99.949444,25.184506,1.108155,
saccade,0.031250,1400.000000,1415.000000,2.914583,2.945833,-6.409460,-7.347559,-2.255334,-2.019461,-0.938099,0.235873,0.967298,165.886278,55.844825,15.417064,0.976736,
saccade,0.039583,1644.000000,1663.000000,3.422917,3.462500,-7.235865,-9.298284,-2.073537,-1.932319,-2.062418,0.141219,2.067248,176.082939,105.086386,28.085718,2.089467,
