saccadeOrDrift,duration,onsetIndex,offsetIndex,onsetTime,offsetTime,xStart,xEnd,yStart,yEnd,xAmplitude,yAmplitude,vectorAmplitude,direction,peakVelocity,meanVelocity,maximumExcursion
saccade,0.020833,207.000000,217.000000,0.429167,0.450000,0.010674,-0.124706,0.054160,0.032122,-0.135380,-0.022038,0.137162,-170.754263,9.702843,3.605175,0.137162,
saccade,0.014583,1365.000000,1372.000000,2.841667,2.856250,-0.009557,-0.087083,0.041391,0.034232,-0.077526,-0.007158,0.077856,-174.724574,7.007791,3.318754,0.077856,
saccade,0.014583,1656.000000,1663.000000,3.447917,3.462500,0.029902,-0.047211,0.058222,0.042302,-0.077113,-0.015920,0.078739,-168.335128,7.022828,2.876613,0.078739,
saccade,0.016667,1951.000000,1959.000000,4.062500,4.079167,0.018923,-0.067606,0.059173,0.032000,-0.086529,-0.027173,0.090696,-162.565771,7.804524,3.422915,0.091334,
saccade,0.016667,2279.000000,2287.000000,4.745833,4.762500,0.010851,-0.072949,0.049493,0.010548,-0.083799,-0.038946,0.092407,-155.073389,7.133860,3.549805,0.092407,
saccade,0.020833,2889.000000,2899.000000,6.016667,6.037500,0.048633,-0.088989,0.066573,0.001300,-0.137623,-0.065273,0.152318,-154.625542,10.902199,4.524272,0.153183,
saccade,0.050000,4820.000000,4844.000000,10.039583,10.089583,0.185124,0.551143,0.145090,1.683056,0.366020,1.537966,1.580921,76.613242,61.461216,18.609754,1.580921,
saccade,0.027083,5165.000000,5178.000000,10.758333,10.785417,0.573428,0.525081,1.724732,1.639054,-0.048347,-0.085677,0.098377,-119.435657,8.588391,3.831139,0.112721,
saccade,0.012500,5634.000000,5640.000000,11.735417,11.747917,0.504228,0.452837,1.686103,1.645935,-0.051391,-0.040167,0.065226,-141.988478,6.366081,2.656557,0.065226,
saccade,0.022917,5937.000000,5948.000000,12.366667,12.389583,0.553133,0.346415,1.691465,1.651142,-0.206718,-0.040323,0.210614,-168.962380,14.035402,4.616740,0.214717,
saccade,0.018750,6698.000000,6707.000000,13.952083,13.970833,0.463187,0.330807,1.687747,1.681151,-0.132380,-0.006596,0.132544,-177.147623,11.461746,3.982268,0.132544,
saccade,0.018750,7056.000000,7065.000000,14.697917,14.716667,0.413112,0.335671,1.709683,1.644449,-0.077440,-0.065234,0.101254,-139.890090,8.245302,3.302679,0.101989,
saccade,0.018750,8062.000000,8071.000000,16.793750,16.812500,0.470769,0.365591,1.700643,1.662255,-0.105178,-0.038388,0.111964,-159.949038,9.245152,3.531723,0.112719,
saccade,0.016667,9305.000000,9313.000000,19.383333,19.400000,0.475487,0.543303,1.686442,1.635805,0.067816,-0.050637,0.084635,-36.747776,6.865021,2.525823,0.084635,
saccade,0.018750,9440.000000,9449.000000,19.664583,19.683333,0.574213,0.670729,1.681891,1.724989,0.096516,0.043098,0.105701,24.062602,7.324300,2.745246,0.105701,
saccade,0.056250,9563.000000,9590.000000,19.920833,19.977083,0.720086,3.118191,1.723329,-0.406145,2.398105,-2.129474,3.207112,-41.604491,133.986811,37.194544,3.242866,
saccade,0.027083,9643.000000,9656.000000,20.087500,20.114583,3.144787,2.685317,-0.360801,-0.200431,-0.459471,0.160370,0.486653,160.759423,30.078406,9.036110,0.499235,
saccade,0.022917,10062.000000,10073.000000,20.960417,20.983333,2.777875,2.571183,-0.122421,-0.099246,-0.206692,0.023175,0.207987,173.602545,16.181898,5.730589,0.217596,
saccade,0.020833,10063.000000,10073.000000,20.962500,20.983333,2.763317,2.571183,-0.124496,-0.099246,-0.192134,0.025250,0.193786,172.513067,16.181898,6.010694,0.203292,
saccade,0.014583,10441.000000,10448.000000,21.750000,21.764583,2.596670,2.516330,-0.075267,-0.092911,-0.080339,-0.017644,0.082254,-167.613411,7.894066,3.005299,0.082254,
saccade,0.025000,10524.000000,10536.000000,21.922917,21.947917,2.565777,2.704059,-0.071617,-0.163246,0.138282,-0.091629,0.165885,-33.529397,9.377977,3.490267,0.166455,
saccade,0.020833,10835.000000,10845.000000,22.570833,22.591667,2.795931,2.654932,-0.130658,-0.170676,-0.140998,-0.040018,0.146567,-164.155032,10.269145,4.156598,0.149441,
saccade,0.014583,11608.000000,11615.000000,24.181250,24.195833,2.798151,2.730956,-0.128575,-0.155430,-0.067195,-0.026855,0.072362,-158.215223,8.674685,3.649927,0.075033,
saccade,0.016667,12111.000000,12119.000000,25.229167,25.245833,2.793204,2.708057,-0.149652,-0.131478,-0.085146,0.018173,0.087064,167.951691,8.255857,3.404457,0.087064,
saccade,0.016667,12142.000000,12150.000000,25.293750,25.310417,2.735222,2.634849,-0.139493,-0.180857,-0.100373,-0.041363,0.108561,-157.603455,9.250429,2.996558,0.108561,
saccade,0.014583,13196.000000,13203.000000,27.489583,27.504167,2.682875,2.616646,-0.184360,-0.194169,-0.066229,-0.009808,0.066952,-171.575821,6.571824,2.578339,0.066952,
drift,0.429167,1.000000,207.000000,0.000000,0.429167,0.002858,0.010674,0.003534,0.054160,0.007816,0.050626,0.051225,81.223087,5.719469,5.719469,0.067285,
drift,2.389583,218.000000,1365.000000,0.452083,2.841667,-0.119854,-0.009557,0.034647,0.041391,0.110297,0.006744,0.110503,3.498721,5.592779,5.592779,0.133514,
drift,0.589583,1373.000000,1656.000000,2.858333,3.447917,-0.086469,0.029902,0.030097,0.058222,0.116371,0.028125,0.119722,13.587009,5.886746,5.886746,0.148267,
drift,0.597917,1664.000000,1951.000000,3.464583,4.062500,-0.046677,0.018923,0.038544,0.059173,0.065600,0.020629,0.068767,17.456505,6.426330,6.426330,0.090899,
drift,0.664583,1960.000000,2279.000000,4.081250,4.745833,-0.063520,0.010851,0.034463,0.049493,0.074371,0.015030,0.075875,11.425415,5.628182,5.628182,0.099916,
drift,1.252083,2288.000000,2889.000000,4.764583,6.016667,-0.069730,0.048633,0.005151,0.066573,0.118363,0.061422,0.133351,27.426135,6.449680,6.449680,0.146435,
drift,4.000000,2900.000000,4820.000000,6.039583,10.039583,-0.085845,0.185124,0.002345,0.145090,0.270968,0.142744,0.306267,27.779968,9.897207,9.897207,0.321789,
drift,0.666667,4845.000000,5165.000000,10.091667,10.758333,0.547142,0.573428,1.682899,1.724732,0.026287,0.041833,0.049406,57.855744,5.985349,5.985349,0.073125,
drift,0.947917,5179.000000,5634.000000,10.787500,11.735417,0.527902,0.504228,1.645293,1.686103,-0.023674,0.040810,0.047180,120.118392,5.364306,5.364306,0.106838,
drift,0.616667,5641.000000,5937.000000,11.750000,12.366667,0.450929,0.553133,1.641777,1.691465,0.102204,0.049688,0.113642,25.927381,5.614809,5.614809,0.127181,
drift,1.560417,5949.000000,6698.000000,12.391667,13.952083,0.356894,0.463187,1.652342,1.687747,0.106293,0.035404,0.112034,18.422021,7.083190,7.083190,0.143503,
drift,0.725000,6708.000000,7056.000000,13.972917,14.697917,0.337451,0.413112,1.677783,1.709683,0.075661,0.031900,0.082111,22.861529,6.584725,6.584725,0.107335,
drift,2.075000,7066.000000,8062.000000,14.718750,16.793750,0.339008,0.470769,1.647133,1.700643,0.131762,0.053510,0.142213,22.102587,6.308156,6.308156,0.166105,
drift,2.568750,8072.000000,9305.000000,16.814583,19.383333,0.367998,0.475487,1.659656,1.686442,0.107489,0.026786,0.110776,13.992915,5.390559,5.390559,0.110776,
drift,0.262500,9314.000000,9440.000000,19.402083,19.664583,0.540213,0.574213,1.635244,1.681891,0.034000,0.046647,0.057723,53.912528,5.340576,5.340576,0.060526,
drift,0.235417,9450.000000,9563.000000,19.685417,19.920833,0.672526,0.720086,1.723988,1.723329,0.047560,-0.000659,0.047564,-0.794008,9.041524,9.041524,0.068360,
