saccadeOrDrift,duration,onsetIndex,offsetIndex,onsetTime,offsetTime,xStart,xEnd,yStart,yEnd,xAmplitude,yAmplitude,vectorAmplitude,direction,peakVelocity,meanVelocity,maximumExcursion
saccade,0.012500,266.000000,272.000000,0.552083,0.564583,0.043777,0.095348,0.018109,0.004591,0.051571,-0.013517,0.053313,-14.687500,5.706457,3.079653,0.053313,
saccade,0.012500,710.000000,716.000000,1.477083,1.489583,0.020056,-0.032442,0.032983,0.061483,-0.052498,0.028501,0.059735,151.502600,5.863016,2.635570,0.059735,
saccade,0.058333,1911.000000,1939.000000,3.979167,4.037500,0.214986,-0.123161,0.002190,0.011788,-0.338147,0.009598,0.338283,178.374111,6.788525,4.566162,0.338283,
saccade,0.027083,2106.000000,2119.000000,4.385417,4.412500,-0.167074,0.337902,0.019312,-0.046316,0.504975,-0.065628,0.509222,-7.404836,32.076031,9.240708,0.509814,
saccade,0.016667,2521.000000,2529.000000,5.250000,5.266667,0.095116,0.192160,-0.053313,-0.068402,0.097044,-0.015089,0.098210,-8.837825,7.220510,4.132819,0.098210,
saccade,0.014583,2689.000000,2696.000000,5.600000,5.614583,0.054963,0.014046,-0.047492,-0.010550,-0.040917,0.036942,0.055127,137.922148,7.790395,4.192478,0.064070,
saccade,0.014583,2766.000000,2773.000000,5.760417,5.775000,0.090994,0.020833,-0.042477,-0.035883,-0.070161,0.006594,0.070470,174.630893,6.151332,2.583114,0.070470,
saccade,0.020833,2927.000000,2937.000000,6.095833,6.116667,0.165968,0.011837,-0.022271,-0.031305,-0.154130,-0.009033,0.154395,-176.645826,10.219547,5.063069,0.154395,
saccade,0.020833,2927.000000,2937.000000,6.095833,6.116667,0.165968,0.011837,-0.022271,-0.031305,-0.154130,-0.009033,0.154395,-176.645826,10.219547,5.200263,0.154395,
saccade,0.012500,3051.000000,3057.000000,6.354167,6.366667,-0.131271,-0.186855,-0.047332,-0.046868,-0.055585,0.000464,0.055587,179.521934,8.482957,4.088717,0.058767,
saccade,0.012500,3051.000000,3057.000000,6.354167,6.366667,-0.131271,-0.186855,-0.047332,-0.046868,-0.055585,0.000464,0.055587,179.521934,8.482957,4.241259,0.058767,
